STATE,variable,value,,,
Alabama,abbrev,AL,,,
Alaska,abbrev,AK,,,
Arizona,abbrev,AZ,,,
Arkansas,abbrev,AR,,,
California,abbrev,CA,,,
Colorado,abbrev,CO,,,
Connecticut,abbrev,CT,,,
Delaware,abbrev,DE,,,
Florida,abbrev,FL,,,
Georgia,abbrev,GA,,,
Hawaii,abbrev,HI,,,
Idaho,abbrev,ID,,,
Illinois,abbrev,IL,,,
Indiana,abbrev,IN,,,
Iowa,abbrev,IA,,,
Kansas,abbrev,KS,,,
Kentucky,abbrev,KY,,,
Louisiana,abbrev,LA,,,
Maine,abbrev,ME,,,
Maryland,abbrev,MD,,,
Massachusetts,abbrev,MA,,,
Michigan,abbrev,MI,,,
Minnesota,abbrev,MN,,,
Mississippi,abbrev,MS,,,
Missouri,abbrev,MO,,,
Montana,abbrev,MT,,,
Nebraska,abbrev,NE,,,
Nevada,abbrev,NV,,,
New Hampshire,abbrev,NH,,,
New Jersey,abbrev,NJ,,,
New Mexico,abbrev,NM,,,
New York,abbrev,NY,,,
North Carolina,abbrev,NC,,,
North Dakota,abbrev,ND,,,
Ohio,abbrev,OH,,,
Oklahoma,abbrev,OK,,,
Oregon,abbrev,OR,,,
Pennsylvania,abbrev,PA,,,
Rhode Island,abbrev,RI,,,
South Carolina,abbrev,SC,,,
South Dakota,abbrev,SD,,,
Tennessee,abbrev,TN,,,
Texas,abbrev,TX,,,
Utah,abbrev,UT,,,
Vermont,abbrev,VT,,,
Virginia,abbrev,VA,,,
Washington,abbrev,WA,,,
West Virginia,abbrev,WV,,,
Wisconsin,abbrev,WI,,,
Wyoming,abbrev,WY,,,
Alabama,aVoters2012,17000,,,
Alaska,aVoters2012,10000,,,
Arizona,aVoters2012,43000,,,
Arkansas,aVoters2012,9000,,,
California,aVoters2012,1380000,,,
Colorado,aVoters2012,31000,,,
Connecticut,aVoters2012,23000,,,
Delaware,aVoters2012,8000,,,
Florida,aVoters2012,155000,,,
Georgia,aVoters2012,83000,,,
Hawaii,aVoters2012,201000,,,
Idaho,aVoters2012,2000,,,
Illinois,aVoters2012,198000,,,
Indiana,aVoters2012,14000,,,
Iowa,aVoters2012,17000,,,
Kansas,aVoters2012,6000,,,
Kentucky,aVoters2012,5000,,,
Louisiana,aVoters2012,6000,,,
Maine,aVoters2012,2000,,,
Maryland,aVoters2012,66000,,,
Massachusetts,aVoters2012,98000,,,
Michigan,aVoters2012,73000,,,
Minnesota,aVoters2012,98000,,,
Mississippi,aVoters2012,2000,,,
Missouri,aVoters2012,20000,,,
Montana,aVoters2012,0,,,
Nebraska,aVoters2012,5000,,,
Nevada,aVoters2012,67000,,,
New Hampshire,aVoters2012,4000,,,
New Jersey,aVoters2012,179000,,,
New Mexico,aVoters2012,3000,,,
New York,aVoters2012,333000,,,
North Carolina,aVoters2012,34000,,,
North Dakota,aVoters2012,0,,,
Ohio,aVoters2012,38000,,,
Oklahoma,aVoters2012,22000,,,
Oregon,aVoters2012,23000,,,
Pennsylvania,aVoters2012,53000,,,
Rhode Island,aVoters2012,5000,,,
South Carolina,aVoters2012,17000,,,
South Dakota,aVoters2012,0,,,
Tennessee,aVoters2012,13000,,,
Texas,aVoters2012,214000,,,
Utah,aVoters2012,12000,,,
Vermont,aVoters2012,3000,,,
Virginia,aVoters2012,118000,,,
Washington,aVoters2012,169000,,,
West Virginia,aVoters2012,1000,,,
Wisconsin,aVoters2012,15000,,,
Wyoming,aVoters2012,0,,,
Alabama,hVoters2012,0,,,
Alaska,hVoters2012,7000,,,
Arizona,hVoters2012,400000,,,
Arkansas,hVoters2012,14000,,,
California,hVoters2012,3157000,,,
Colorado,hVoters2012,259000,,,
Connecticut,hVoters2012,103000,,,
Delaware,hVoters2012,10000,,,
Florida,hVoters2012,1399000,,,
Georgia,hVoters2012,114000,,,
Hawaii,hVoters2012,25000,,,
Idaho,hVoters2012,27000,,,
Illinois,hVoters2012,295000,,,
Indiana,hVoters2012,49000,,,
Iowa,hVoters2012,30000,,,
Kansas,hVoters2012,33000,,,
Kentucky,hVoters2012,13000,,,
Louisiana,hVoters2012,48000,,,
Maine,hVoters2012,4000,,,
Maryland,hVoters2012,103000,,,
Massachusetts,hVoters2012,202000,,,
Michigan,hVoters2012,158000,,,
Minnesota,hVoters2012,44000,,,
Mississippi,hVoters2012,2000,,,
Missouri,hVoters2012,63000,,,
Montana,hVoters2012,7000,,,
Nebraska,hVoters2012,21000,,,
Nevada,hVoters2012,157000,,,
New Hampshire,hVoters2012,15000,,,
New Jersey,hVoters2012,395000,,,
New Mexico,hVoters2012,306000,,,
New York,hVoters2012,835000,,,
North Carolina,hVoters2012,95000,,,
North Dakota,hVoters2012,6000,,,
Ohio,hVoters2012,98000,,,
Oklahoma,hVoters2012,36000,,,
Oregon,hVoters2012,60000,,,
Pennsylvania,hVoters2012,184000,,,
Rhode Island,hVoters2012,32000,,,
South Carolina,hVoters2012,16000,,,
South Dakota,hVoters2012,3000,,,
Tennessee,hVoters2012,84000,,,
Texas,hVoters2012,1890000,,,
Utah,hVoters2012,49000,,,
Vermont,hVoters2012,3000,,,
Virginia,hVoters2012,103000,,,
Washington,hVoters2012,139000,,,
West Virginia,hVoters2012,4000,,,
Wisconsin,hVoters2012,71000,,,
Wyoming,hVoters2012,,,,
Alabama,totalNewACitz2016,29835,,,
Alaska,totalNewACitz2016,24716,,,
Arizona,totalNewACitz2016,180738,,,
Arkansas,totalNewACitz2016,25232,,,
California,totalNewACitz2016,3335738,,,
Colorado,totalNewACitz2016,114616,,,
Connecticut,totalNewACitz2016,95950,,,
Delaware,totalNewACitz2016,18708,,,
Florida,totalNewACitz2016,416193,,,
Georgia,totalNewACitz2016,234798,,,
Hawaii,totalNewACitz2016,432276,,,
Idaho,totalNewACitz2016,10553,,,
Illinois,totalNewACitz2016,423514,,,
Indiana,totalNewACitz2016,53682,,,
Iowa,totalNewACitz2016,38793,,,
Kansas,totalNewACitz2016,33333,,,
Kentucky,totalNewACitz2016,37849,,,
Louisiana,totalNewACitz2016,30761,,,
Maine,totalNewACitz2016,10359,,,
Maryland,totalNewACitz2016,168798,,,
Massachusetts,totalNewACitz2016,261147,,,
Michigan,totalNewACitz2016,177525,,,
Minnesota,totalNewACitz2016,149755,,,
Mississippi,totalNewACitz2016,12613,,,
Missouri,totalNewACitz2016,41849,,,
Montana,totalNewACitz2016,0,,,
Nebraska,totalNewACitz2016,21229,,,
Nevada,totalNewACitz2016,134438,,,
New Hampshire,totalNewACitz2016,13285,,,
New Jersey,totalNewACitz2016,460107,,,
New Mexico,totalNewACitz2016,15998,,,
New York,totalNewACitz2016,996518,,,
North Carolina,totalNewACitz2016,83550,,,
North Dakota,totalNewACitz2016,1302,,,
Ohio,totalNewACitz2016,84211,,,
Oklahoma,totalNewACitz2016,48777,,,
Oregon,totalNewACitz2016,89703,,,
Pennsylvania,totalNewACitz2016,157102,,,
Rhode Island,totalNewACitz2016,19076,,,
South Carolina,totalNewACitz2016,37751,,,
South Dakota,totalNewACitz2016,1617,,,
Tennessee,totalNewACitz2016,32169,,,
Texas,totalNewACitz2016,611513,,,
Utah,totalNewACitz2016,44584,,,
Vermont,totalNewACitz2016,5243,,,
Virginia,totalNewACitz2016,278390,,,
Washington,totalNewACitz2016,308967,,,
West Virginia,totalNewACitz2016,6028,,,
Wisconsin,totalNewACitz2016,35554,,,
Wyoming,totalNewACitz2016,0,,,
Alabama,totalNewHCitz2016,44225.43924,,,
Alaska,totalNewHCitz2016,20595.82599,,,
Arizona,totalNewHCitz2016,1132889.446,,,
Arkansas,totalNewHCitz2016,84857.6227,,,
California,totalNewHCitz2016,7609687.173,,,
Colorado,totalNewHCitz2016,564202.7973,,,
Connecticut,totalNewHCitz2016,255561.0903,,,
Delaware,totalNewHCitz2016,28603.54341,,,
Florida,totalNewHCitz2016,2588882.339,,,
Georgia,totalNewHCitz2016,294355.0703,,,
Hawaii,totalNewHCitz2016,81089.70471,,,
Idaho,totalNewHCitz2016,82171.04529,,,
Illinois,totalNewHCitz2016,925844.7179,,,
Indiana,totalNewHCitz2016,142798.7928,,,
Iowa,totalNewHCitz2016,83069.11613,,,
Kansas,totalNewHCitz2016,129936.0277,,,
Kentucky,totalNewHCitz2016,41473.95659,,,
Louisiana,totalNewHCitz2016,80636.92219,,,
Maine,totalNewHCitz2016,8300.710143,,,
Maryland,totalNewHCitz2016,206138.1842,,,
Massachusetts,totalNewHCitz2016,380853.2736,,,
Michigan,totalNewHCitz2016,255346.2889,,,
Minnesota,totalNewHCitz2016,114325.2346,,,
Mississippi,totalNewHCitz2016,20915.75909,,,
Missouri,totalNewHCitz2016,117591.9492,,,
Montana,totalNewHCitz2016,14502.19828,,,
Nebraska,totalNewHCitz2016,75486.12044,,,
Nevada,totalNewHCitz2016,358067.3427,,,
New Hampshire,totalNewHCitz2016,26203.69919,,,
New Jersey,totalNewHCitz2016,888363.875,,,
New Mexico,totalNewHCitz2016,593393.396,,,
New York,totalNewHCitz2016,1800865.113,,,
North Carolina,totalNewHCitz2016,216365.2388,,,
North Dakota,totalNewHCitz2016,14406.63245,,,
Ohio,totalNewHCitz2016,197578.5073,,,
Oklahoma,totalNewHCitz2016,148598.1176,,,
Oregon,totalNewHCitz2016,154170.859,,,
Pennsylvania,totalNewHCitz2016,459828.6796,,,
Rhode Island,totalNewHCitz2016,69568.00707,,,
South Carolina,totalNewHCitz2016,47085.09089,,,
South Dakota,totalNewHCitz2016,13939.58429,,,
Tennessee,totalNewHCitz2016,149054.2625,,,
Texas,totalNewHCitz2016,5493264.393,,,
Utah,totalNewHCitz2016,177763.6541,,,
Vermont,totalNewHCitz2016,5332.468743,,,
Virginia,totalNewHCitz2016,203302.1152,,,
Washington,totalNewHCitz2016,352777.421,,,
West Virginia,totalNewHCitz2016,14447.89933,,,
Wisconsin,totalNewHCitz2016,187192.6166,,,
Wyoming,totalNewHCitz2016,30143.5059,,,
Alabama,otherVoters2016,2109570,,,
Alaska,otherVoters2016,299050,,,
Arizona,otherVoters2016,2005123,,,
Arkansas,otherVoters2016,1076912,,,
California,otherVoters2016,8912091,,,
Colorado,otherVoters2016,2399364,,,
Connecticut,otherVoters2016,1459554,,,
Delaware,otherVoters2016,413284,,,
Florida,otherVoters2016,7362061,,,
Georgia,otherVoters2016,3919199,,,
Hawaii,otherVoters2016,216001,,,
Idaho,otherVoters2016,657819,,,
Illinois,otherVoters2016,4823162,,,
Indiana,otherVoters2016,2613787,,,
Iowa,otherVoters2016,1538023,,,
Kansas,otherVoters2016,1145348,,,
Kentucky,otherVoters2016,1815324,,,
Louisiana,otherVoters2016,1947059,,,
Maine,otherVoters2016,724425,,,
Maryland,otherVoters2016,2624110,,,
Massachusetts,otherVoters2016,2902444,,,
Michigan,otherVoters2016,4543501,,,
Minnesota,otherVoters2016,2878963,,,
Mississippi,otherVoters2016,1308687,,,
Missouri,otherVoters2016,2744080,,,
Montana,otherVoters2016,488949,,,
Nebraska,otherVoters2016,779404,,,
Nevada,otherVoters2016,872566,,,
New Hampshire,otherVoters2016,724817,,,
New Jersey,otherVoters2016,3133416,,,
New Mexico,otherVoters2016,500029,,,
New York,otherVoters2016,5970932,,,
North Carolina,otherVoters2016,4597173,,,
North Dakota,otherVoters2016,311761,,,
Ohio,otherVoters2016,5496637,,,
Oklahoma,otherVoters2016,1305680,,,
Oregon,otherVoters2016,1777212,,,
Pennsylvania,otherVoters2016,5559348,,,
Rhode Island,otherVoters2016,415994,,,
South Carolina,otherVoters2016,2011774,,,
South Dakota,otherVoters2016,365232,,,
Tennessee,otherVoters2016,2446388,,,
Texas,otherVoters2016,6192592,,,
Utah,otherVoters2016,1013007,,,
Vermont,otherVoters2016,301901,,,
Virginia,otherVoters2016,3785653,,,
Washington,otherVoters2016,2956301,,,
West Virginia,otherVoters2016,658702,,,
Wisconsin,otherVoters2016,3054828,,,
Wyoming,otherVoters2016,244744,,,
Alabama,totalNewACitz2020,35381.24607,,,
Alaska,totalNewACitz2020,29870.74039,,,
Arizona,totalNewACitz2020,202646.6482,,,
Arkansas,totalNewACitz2020,29368.44993,,,
California,totalNewACitz2020,3832961.238,,,
Colorado,totalNewACitz2020,133042.0562,,,
Connecticut,totalNewACitz2020,113157.8624,,,
Delaware,totalNewACitz2020,22259.81718,,,
Florida,totalNewACitz2020,472262.8447,,,
Georgia,totalNewACitz2020,274913.3505,,,
Hawaii,totalNewACitz2020,461963.0446,,,
Idaho,totalNewACitz2020,13205.27282,,,
Illinois,totalNewACitz2020,490009.6176,,,
Indiana,totalNewACitz2020,65312.524,,,
Iowa,totalNewACitz2020,43655.12479,,,
Kansas,totalNewACitz2020,42718.3559,,,
Kentucky,totalNewACitz2020,45585.15368,,,
Louisiana,totalNewACitz2020,38807.62492,,,
Maine,totalNewACitz2020,12285.53961,,,
Maryland,totalNewACitz2020,206774.7208,,,
Massachusetts,totalNewACitz2020,304033.146,,,
Michigan,totalNewACitz2020,217921.4714,,,
Minnesota,totalNewACitz2020,176078.8845,,,
Mississippi,totalNewACitz2020,15894.41288,,,
Missouri,totalNewACitz2020,54609.86841,,,
Montana,totalNewACitz2020,0,,,
Nebraska,totalNewACitz2020,24696.87991,,,
Nevada,totalNewACitz2020,156200.1611,,,
New Hampshire,totalNewACitz2020,17209.73702,,,
New Jersey,totalNewACitz2020,551889.8052,,,
New Mexico,totalNewACitz2020,18740.5371,,,
New York,totalNewACitz2020,1145918.067,,,
North Carolina,totalNewACitz2020,111049.265,,,
North Dakota,totalNewACitz2020,1679.942414,,,
Ohio,totalNewACitz2020,110793.6541,,,
Oklahoma,totalNewACitz2020,56776.71791,,,
Oregon,totalNewACitz2020,109114.9017,,,
Pennsylvania,totalNewACitz2020,201400.6087,,,
Rhode Island,totalNewACitz2020,22472.9701,,,
South Carolina,totalNewACitz2020,45478.67674,,,
South Dakota,totalNewACitz2020,1986.402098,,,
Tennessee,totalNewACitz2020,45045.11544,,,
Texas,totalNewACitz2020,729928.1505,,,
Utah,totalNewACitz2020,52825.99081,,,
Vermont,totalNewACitz2020,6450.325027,,,
Virginia,totalNewACitz2020,338985.2429,,,
Washington,totalNewACitz2020,365054.4432,,,
West Virginia,totalNewACitz2020,7424.716018,,,
Wisconsin,totalNewACitz2020,53251.84694,,,
Wyoming,totalNewACitz2020,0,,,
Alabama,totalNewHCitz2020,50817.81139,,,
Alaska,totalNewHCitz2020,23690.70454,,,
Arizona,totalNewHCitz2020,1220215.215,,,
Arkansas,totalNewHCitz2020,95715.41472,,,
California,totalNewHCitz2020,8357706.389,,,
Colorado,totalNewHCitz2020,608319.2394,,,
Connecticut,totalNewHCitz2020,281810.6594,,,
Delaware,totalNewHCitz2020,34126.86972,,,
Florida,totalNewHCitz2020,2837298.335,,,
Georgia,totalNewHCitz2020,339952.7325,,,
Hawaii,totalNewHCitz2020,99584.80998,,,
Idaho,totalNewHCitz2020,92903.51769,,,
Illinois,totalNewHCitz2020,1034200.932,,,
Indiana,totalNewHCitz2020,161274.3315,,,
Iowa,totalNewHCitz2020,92738.39944,,,
Kansas,totalNewHCitz2020,147860.4984,,,
Kentucky,totalNewHCitz2020,48737.09307,,,
Louisiana,totalNewHCitz2020,88215.86042,,,
Maine,totalNewHCitz2020,10099.01724,,,
Maryland,totalNewHCitz2020,236386.2785,,,
Massachusetts,totalNewHCitz2020,431803.4746,,,
Michigan,totalNewHCitz2020,281844.128,,,
Minnesota,totalNewHCitz2020,131545.4994,,,
Mississippi,totalNewHCitz2020,23776.7201,,,
Missouri,totalNewHCitz2020,128855.179,,,
Montana,totalNewHCitz2020,15820.71226,,,
Nebraska,totalNewHCitz2020,84135.86898,,,
Nevada,totalNewHCitz2020,400832.542,,,
New Hampshire,totalNewHCitz2020,28882.18064,,,
New Jersey,totalNewHCitz2020,987800.116,,,
New Mexico,totalNewHCitz2020,614616.4643,,,
New York,totalNewHCitz2020,1991548.69,,,
North Carolina,totalNewHCitz2020,257044.9219,,,
North Dakota,totalNewHCitz2020,15048.76305,,,
Ohio,totalNewHCitz2020,219409.9133,,,
Oklahoma,totalNewHCitz2020,164256.5959,,,
Oregon,totalNewHCitz2020,183375.8457,,,
Pennsylvania,totalNewHCitz2020,503223.2149,,,
Rhode Island,totalNewHCitz2020,79175.10112,,,
South Carolina,totalNewHCitz2020,56134.07337,,,
South Dakota,totalNewHCitz2020,15388.40385,,,
Tennessee,totalNewHCitz2020,162438.0967,,,
Texas,totalNewHCitz2020,5860689.804,,,
Utah,totalNewHCitz2020,198908.2102,,,
Vermont,totalNewHCitz2020,5271.713529,,,
Virginia,totalNewHCitz2020,251977.9658,,,
Washington,totalNewHCitz2020,407394.7537,,,
West Virginia,totalNewHCitz2020,15212.45119,,,
Wisconsin,totalNewHCitz2020,209469.37,,,
Wyoming,totalNewHCitz2020,32184.27889,,,
Alabama,otherVoters2020,2161801,,,
Alaska,otherVoters2020,314606,,,
Arizona,otherVoters2020,2153993,,,
Arkansas,otherVoters2020,1107356,,,
California,otherVoters2020,9322636,,,
Colorado,otherVoters2020,2519208,,,
Connecticut,otherVoters2020,1486148,,,
Delaware,otherVoters2020,430646,,,
Florida,otherVoters2020,7803943,,,
Georgia,otherVoters2020,4135348,,,
Hawaii,otherVoters2020,223306,,,
Idaho,otherVoters2020,692363,,,
Illinois,otherVoters2020,4897310,,,
Indiana,otherVoters2020,2666040,,,
Iowa,otherVoters2020,1540866,,,
Kansas,otherVoters2020,1169724,,,
Kentucky,otherVoters2020,1851435,,,
Louisiana,otherVoters2020,1954052,,,
Maine,otherVoters2020,741670,,,
Maryland,otherVoters2020,2709894,,,
Massachusetts,otherVoters2020,2937121,,,
Michigan,otherVoters2020,4587042,,,
Minnesota,otherVoters2020,2963366,,,
Mississippi,otherVoters2020,1335790,,,
Missouri,otherVoters2020,2813838,,,
Montana,otherVoters2020,500850,,,
Nebraska,otherVoters2020,790430,,,
Nevada,otherVoters2020,954213,,,
New Hampshire,otherVoters2020,757663,,,
New Jersey,otherVoters2020,3200539,,,
New Mexico,otherVoters2020,525300,,,
New York,otherVoters2020,6028705,,,
North Carolina,otherVoters2020,4817973,,,
North Dakota,otherVoters2020,306895,,,
Ohio,otherVoters2020,5548433,,,
Oklahoma,otherVoters2020,1334488,,,
Oregon,otherVoters2020,1848154,,,
Pennsylvania,otherVoters2020,5602026,,,
Rhode Island,otherVoters2020,422939,,,
South Carolina,otherVoters2020,2092430,,,
South Dakota,otherVoters2020,369650,,,
Tennessee,otherVoters2020,2531198,,,
Texas,otherVoters2020,6495333,,,
Utah,otherVoters2020,1069574,,,
Vermont,otherVoters2020,310512,,,
Virginia,otherVoters2020,3937816,,,
Washington,otherVoters2020,3095086,,,
West Virginia,otherVoters2020,651967,,,
Wisconsin,otherVoters2020,3127223,,,
Wyoming,otherVoters2020,248428,,,
Alabama,aHighVoteRate,0.68,,,
Alaska,aHighVoteRate,0.63,,,
Arizona,aHighVoteRate,0.58,,,
Arkansas,aHighVoteRate,0.55,,,
California,aHighVoteRate,0.59,,,
Colorado,aHighVoteRate,0.72,,,
Connecticut,aHighVoteRate,0.64,,,
Delaware,aHighVoteRate,0.69,,,
Florida,aHighVoteRate,0.62,,,
Georgia,aHighVoteRate,0.61,,,
Hawaii,aHighVoteRate,0.67,,,
Idaho,aHighVoteRate,0.65,,,
Illinois,aHighVoteRate,0.6,,,
Indiana,aHighVoteRate,0.59,,,
Iowa,aHighVoteRate,0.7,,,
Kansas,aHighVoteRate,0.65,,,
Kentucky,aHighVoteRate,0.6,,,
Louisiana,aHighVoteRate,0.65,,,
Maine,aHighVoteRate,0.69,,,
Maryland,aHighVoteRate,0.65,,,
Massachusetts,aHighVoteRate,0.73,,,
Michigan,aHighVoteRate,0.68,,,
Minnesota,aHighVoteRate,0.78,,,
Mississippi,aHighVoteRate,0.71,,,
Missouri,aHighVoteRate,0.68,,,
Montana,aHighVoteRate,0.67,,,
Nebraska,aHighVoteRate,0.62,,,
Nevada,aHighVoteRate,0.59,,,
New Hampshire,aHighVoteRate,0.7,,,
New Jersey,aHighVoteRate,0.62,,,
New Mexico,aHighVoteRate,0.65,,,
New York,aHighVoteRate,0.58,,,
North Carolina,aHighVoteRate,0.66,,,
North Dakota,aHighVoteRate,0.66,,,
Ohio,aHighVoteRate,0.63,,,
Oklahoma,aHighVoteRate,0.55,,,
Oregon,aHighVoteRate,0.69,,,
Pennsylvania,aHighVoteRate,0.62,,,
Rhode Island,aHighVoteRate,0.63,,,
South Carolina,aHighVoteRate,0.63,,,
South Dakota,aHighVoteRate,0.64,,,
Tennessee,aHighVoteRate,0.65,,,
Texas,aHighVoteRate,0.53,,,
Utah,aHighVoteRate,0.59,,,
Vermont,aHighVoteRate,0.75,,,
Virginia,aHighVoteRate,0.68,,,
Washington,aHighVoteRate,0.67,,,
West Virginia,aHighVoteRate,0.48,,,
Wisconsin,aHighVoteRate,0.75,,,
Wyoming,aHighVoteRate,0.6,,,
Alabama,hHighVoteRate,0.61,,,
Alaska,hHighVoteRate,0.63,,,
Arizona,hHighVoteRate,0.58,,,
Arkansas,hHighVoteRate,0.55,,,
California,hHighVoteRate,0.59,,,
Colorado,hHighVoteRate,0.72,,,
Connecticut,hHighVoteRate,0.64,,,
Delaware,hHighVoteRate,0.69,,,
Florida,hHighVoteRate,0.62,,,
Georgia,hHighVoteRate,0.61,,,
Hawaii,hHighVoteRate,0.67,,,
Idaho,hHighVoteRate,0.65,,,
Illinois,hHighVoteRate,0.6,,,
Indiana,hHighVoteRate,0.59,,,
Iowa,hHighVoteRate,0.7,,,
Kansas,hHighVoteRate,0.65,,,
Kentucky,hHighVoteRate,0.6,,,
Louisiana,hHighVoteRate,0.69,,,
Maine,hHighVoteRate,0.69,,,
Maryland,hHighVoteRate,0.65,,,
Massachusetts,hHighVoteRate,0.73,,,
Michigan,hHighVoteRate,0.7,,,
Minnesota,hHighVoteRate,0.74,,,
Mississippi,hHighVoteRate,0.71,,,
Missouri,hHighVoteRate,0.64,,,
Montana,hHighVoteRate,0.67,,,
Nebraska,hHighVoteRate,0.62,,,
Nevada,hHighVoteRate,0.59,,,
New Hampshire,hHighVoteRate,0.7,,,
New Jersey,hHighVoteRate,0.62,,,
New Mexico,hHighVoteRate,0.65,,,
New York,hHighVoteRate,0.58,,,
North Carolina,hHighVoteRate,0.66,,,
North Dakota,hHighVoteRate,0.66,,,
Ohio,hHighVoteRate,0.62,,,
Oklahoma,hHighVoteRate,0.55,,,
Oregon,hHighVoteRate,0.69,,,
Pennsylvania,hHighVoteRate,0.62,,,
Rhode Island,hHighVoteRate,0.63,,,
South Carolina,hHighVoteRate,0.63,,,
South Dakota,hHighVoteRate,0.64,,,
Tennessee,hHighVoteRate,0.62,,,
Texas,hHighVoteRate,0.53,,,
Utah,hHighVoteRate,0.59,,,
Vermont,hHighVoteRate,0.63,,,
Virginia,hHighVoteRate,0.68,,,
Washington,hHighVoteRate,0.67,,,
West Virginia,hHighVoteRate,0.48,,,
Wisconsin,hHighVoteRate,0.74,,,
Wyoming,hHighVoteRate,0.6,,,
Alabama,aMedVoteRate,0.68,,,
Alaska,aMedVoteRate,0.56,,,
Arizona,aMedVoteRate,0.43,,,
Arkansas,aMedVoteRate,0.49,,,
California,aMedVoteRate,0.54,,,
Colorado,aMedVoteRate,0.52,,,
Connecticut,aMedVoteRate,0.46,,,
Delaware,aMedVoteRate,0.61,,,
Florida,aMedVoteRate,0.53,,,
Georgia,aMedVoteRate,0.52,,,
Hawaii,aMedVoteRate,0.58,,,
Idaho,aMedVoteRate,0.56,,,
Illinois,aMedVoteRate,0.58,,,
Indiana,aMedVoteRate,0.47,,,
Iowa,aMedVoteRate,0.59,,,
Kansas,aMedVoteRate,0.44,,,
Kentucky,aMedVoteRate,0.38,,,
Louisiana,aMedVoteRate,0.46,,,
Maine,aMedVoteRate,0.47,,,
Maryland,aMedVoteRate,0.58,,,
Massachusetts,aMedVoteRate,0.59,,,
Michigan,aMedVoteRate,0.6,,,
Minnesota,aMedVoteRate,0.78,,,
Mississippi,aMedVoteRate,0.46,,,
Missouri,aMedVoteRate,0.67,,,
Montana,aMedVoteRate,0.57,,,
Nebraska,aMedVoteRate,0.45,,,
Nevada,aMedVoteRate,0.59,,,
New Hampshire,aMedVoteRate,0.57,,,
New Jersey,aMedVoteRate,0.55,,,
New Mexico,aMedVoteRate,0.45,,,
New York,aMedVoteRate,0.49,,,
North Carolina,aMedVoteRate,0.63,,,
North Dakota,aMedVoteRate,0.56,,,
Ohio,aMedVoteRate,0.63,,,
Oklahoma,aMedVoteRate,0.54,,,
Oregon,aMedVoteRate,0.51,,,
Pennsylvania,aMedVoteRate,0.55,,,
Rhode Island,aMedVoteRate,0.47,,,
South Carolina,aMedVoteRate,0.6,,,
South Dakota,aMedVoteRate,0.55,,,
Tennessee,aMedVoteRate,0.65,,,
Texas,aMedVoteRate,0.48,,,
Utah,aMedVoteRate,0.46,,,
Vermont,aMedVoteRate,0.75,,,
Virginia,aMedVoteRate,0.6,,,
Washington,aMedVoteRate,0.66,,,
West Virginia,aMedVoteRate,0.34,,,
Wisconsin,aMedVoteRate,0.75,,,
Wyoming,aMedVoteRate,0.54,,,
Alabama,hMedVoteRate,0.55,,,
Alaska,hMedVoteRate,0.51,,,
Arizona,hMedVoteRate,0.49,,,
Arkansas,hMedVoteRate,0.37,,,
California,hMedVoteRate,0.54,,,
Colorado,hMedVoteRate,0.62,,,
Connecticut,hMedVoteRate,0.55,,,
Delaware,hMedVoteRate,0.55,,,
Florida,hMedVoteRate,0.62,,,
Georgia,hMedVoteRate,0.54,,,
Hawaii,hMedVoteRate,0.51,,,
Idaho,hMedVoteRate,0.56,,,
Illinois,hMedVoteRate,0.49,,,
Indiana,hMedVoteRate,0.5,,,
Iowa,hMedVoteRate,0.56,,,
Kansas,hMedVoteRate,0.48,,,
